Dictionary Name,Total Sentences per Length,Total Correct Sentences per Length,Total pos->pos sents per len,Correct pos->pos sents per len,Total pos->neg sents per len,Correct pos->neg sents per len,Correct Pos->Pos Transformations,correct Pos->Neg Transformations,Total correct per len,Total parseable sentences (pos->pos),Parseable sentences (pos->pos),Preserve tree structures (pos->pos),Preserve significant clauses (pos->pos),Total parseable sentences pos->neg,Parseable Sentences (pos->neg),Preserve tree structures (pos->neg),Preserve significant clauses (pos->neg),Negates main clause (pos->neg),Negates target (pos->neg),Total source tokens,total prediction tokens per source,total target tokens per source,Pos->pos token precision,Pos->neg token precision,Pos->pos token recall,Pos->neg token recall,Pos->Pos category precision,Pos->neg category precision,Pos->pos category recall,Pos->Neg category recall
13.00,272.00,270.00,150.00,148.00,122.00,122.00,0.99,1.00,0.99,149.00,0.99,0.99,0.99,122.00,1.00,1.00,1.00,1.00,1.00,"1,586.00","1,708.00","1,708.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
14.00,176.00,176.00,81.00,81.00,95.00,95.00,1.00,1.00,1.00,81.00,1.00,1.00,1.00,95.00,1.00,1.00,1.00,1.00,1.00,"1,330.00","1,425.00","1,425.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
15.00,554.00,554.00,277.00,277.00,277.00,277.00,1.00,1.00,1.00,277.00,1.00,1.00,1.00,277.00,1.00,1.00,1.00,1.00,1.00,"4,155.00","4,432.00","4,432.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
16.00,383.00,383.00,187.00,187.00,196.00,196.00,1.00,1.00,1.00,187.00,1.00,1.00,1.00,196.00,1.00,1.00,1.00,1.00,1.00,"3,136.00","3,332.00","3,332.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
17.00,124.00,121.00,63.00,62.00,61.00,59.00,0.98,0.97,0.98,63.00,1.00,1.00,0.98,59.00,0.97,0.97,0.97,0.97,0.98,"1,037.00","1,101.00","1,098.00",1.00,0.99,1.00,0.99,1.00,0.99,1.00,0.99
18.00,61.00,59.00,27.00,27.00,34.00,32.00,1.00,0.94,0.97,27.00,1.00,1.00,1.00,34.00,1.00,0.97,0.94,0.94,1.00,612.00,650.00,646.00,1.00,0.99,1.00,1.00,1.00,0.99,1.00,1.00
19.00,275.00,271.00,135.00,133.00,140.00,138.00,0.99,0.99,0.99,135.00,1.00,0.99,0.99,139.00,0.99,0.99,0.99,0.99,0.99,"2,660.00","2,820.00","2,800.00",1.00,0.99,1.00,1.00,1.00,0.99,1.00,1.00
20.00,244.00,239.00,122.00,119.00,122.00,120.00,0.98,0.98,0.98,121.00,0.99,0.99,0.98,122.00,1.00,0.98,0.98,0.98,0.98,"2,440.00","2,553.00","2,562.00",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
21.00,143.00,135.00,67.00,63.00,76.00,72.00,0.94,0.95,0.94,67.00,1.00,0.96,0.94,76.00,1.00,0.96,0.95,0.95,0.99,"1,596.00","1,660.00","1,672.00",0.99,1.00,0.98,0.99,1.00,1.00,0.99,0.99
22.00,38.00,36.00,14.00,13.00,24.00,23.00,0.93,0.96,0.95,14.00,1.00,0.93,0.93,23.00,0.96,0.96,0.96,0.96,1.00,528.00,559.00,552.00,1.00,0.99,0.98,1.00,1.00,0.99,0.98,1.00
23.00,11.00,10.00,3.00,3.00,8.00,7.00,1.00,0.88,0.91,3.00,1.00,1.00,1.00,8.00,1.00,0.88,0.88,0.88,1.00,184.00,186.00,192.00,1.00,0.98,1.00,0.95,1.00,0.99,1.00,0.96
